Dataset,A,Y,L,r_difference,r_ratio,o_ratio
P1,Ph,F,,-0.5311352405132157,0.3103808570755828,0.09373791289549005
P2,Ph,F,,0.7712867260673861,6.389104685132749,63.96151337070653
P1,Ph,I,,-0.03919390669628689,0.6995133819951338,0.6693440428380187
P2,Ph,I,,0.08998962960025247,1.1483072697786125,1.4890883021033308
P1,Ph,L,,-0.17299496758398697,0.4842187077588537,0.38420882756394736
P2,Ph,L,,0.048532701510688114,1.322979853259987,1.4031191884293004
P1,Ph,S,,-0.6982295869791904,0.17825319076279508,0.03157580330755204
P2,Ph,S,,0.15558773015313931,2.9195685196223584,3.51463476070529
P1,Ph,A,,-0.21866527632950983,0.5748175182481753,0.3963730569948187
P2,Ph,A,,0.34065997178895796,12.123683612148774,18.69272022733144
P1,Ph,P,,,,
P2,Ph,P,,6.82760538470717e-05,1.0000846408786999,1.0004379276387851
P1,Ph,R,,-0.2318175635852564,0.2904443395964586,0.21605543971544214
P2,Ph,R,,0.25054277639018696,1.5520281235983517,2.867492943403874
P1,Ph,D,,-0.242746067008206,0.6571744141375336,0.3588108496497216
P2,Ph,D,,0.12206252972362691,1.26384036654295,1.6353011876437005
P1,Ph,T,,0.17110667815206054,1.6686450287010133,2.166934636076928
P2,Ph,T,,0.39461347364090027,2.2825592527492566,5.308083643850067
P1,Ph,F,,-0.5311352405132157,0.3103808570755828,0.09373791289549005
P2,Ph,F,,0.7712867260673861,6.389104685132749,63.96151337070653
P1,I,L,Ph,0.32012894148656706,2.359839215646718,4.059570395506768
P2,I,L,Ph,-0.04302267472773158,0.789115898434594,0.7486517698484846
P1,P,A,Ph,,,
P2,P,A,Ph,-0.019824628436669572,0.9161203498483848,0.8929394393958129
P1,A,P,Ph,0.030771608963861455,1.259259259259259,1.3048179974896201
P2,A,P,Ph,0.00803956999246036,1.0099007709664034,1.055020823340346
P1,P,R,Ph,,,
P2,P,R,Ph,-0.005780982352628583,0.9903337961815677,0.9762920357604359
P1,R,P,Ph,-0.008268515108241309,0.9397414448669201,0.9308208830987824
P2,R,P,Ph,-0.006049791402453764,0.9925607243476929,0.961419870441825
P1,S,A,Ph,0.1718470322757774,1.6191575689708477,2.124507732494944
P2,S,A,Ph,-0.013969261162154523,0.9372153661379933,0.9206738242460344
P1,A,S,Ph,0.08753628902403687,1.167869841734295,1.4293232419767241
P2,A,S,Ph,-0.023786495599697227,0.8601998671077364,0.8362305836426566
P1,S,R,Ph,0.22319004430007616,3.2344068903431555,4.3008329744280385
P2,S,R,Ph,0.14162132501057445,1.2458281781115832,1.8708669064051067
P1,R,S,Ph,0.2039718177247285,1.3859991760714088,2.4424340240834006
P2,R,S,Ph,0.06376423209338197,1.4880993827877884,1.6058845793948786
P1,D,T,Ph,-0.5950503939633703,0.14255778716153755,0.04841491151115
P2,D,T,Ph,0.06434512381282564,1.1289325447125211,1.2953141729276347
