A,Y,L,r_difference_p1,r_difference_p2,r_ratio_p1,r_ratio_p2,o_ratio_p1,o_ratio_p2
P,F,,-0.5311352405132157,0.7712867260673861,0.3103808570755828,6.389104685132749,0.09373791289549005,63.96151337070653
P,I,,-0.03919390669628689,0.08998962960025247,0.6995133819951338,1.1483072697786125,0.6693440428380187,1.4890883021033308
P,L,,-0.17299496758398697,0.048532701510688114,0.4842187077588537,1.322979853259987,0.38420882756394736,1.4031191884293004
P,S,,-0.6982295869791904,0.15558773015313931,0.17825319076279508,2.9195685196223584,0.03157580330755204,3.51463476070529
P,A,,-0.21866527632950983,0.34065997178895796,0.5748175182481753,12.123683612148774,0.3963730569948187,18.69272022733144
P,W,,,6.82760538470717e-05,,1.0000846408786999,,1.0004379276387851
P,R,,-0.2318175635852564,0.25054277639018696,0.2904443395964586,1.5520281235983517,0.21605543971544214,2.867492943403874
P,D,,-0.242746067008206,0.12206252972362691,0.6571744141375336,1.26384036654295,0.3588108496497216,1.6353011876437005
P,T,,0.17110667815206054,0.39461347364090027,1.6686450287010133,2.2825592527492566,2.166934636076928,5.308083643850067
P,F,,-0.5311352405132157,0.7712867260673861,0.3103808570755828,6.389104685132749,0.09373791289549005,63.96151337070653
I,L,P,0.32012894148656706,-0.04302267472773158,2.359839215646718,0.789115898434594,4.059570395506768,0.7486517698484846
W,A,P,,-0.019824628436669572,,0.9161203498483848,,0.8929394393958129
A,W,P,0.030771608963861455,0.00803956999246036,1.259259259259259,1.0099007709664034,1.3048179974896201,1.055020823340346
W,R,P,,-0.005780982352628583,,0.9903337961815677,,0.9762920357604359
R,W,P,-0.008268515108241309,-0.006049791402453764,0.9397414448669201,0.9925607243476929,0.9308208830987824,0.961419870441825
S,A,P,0.1718470322757774,-0.013969261162154523,1.6191575689708477,0.9372153661379933,2.124507732494944,0.9206738242460344
A,S,P,0.08753628902403687,-0.023786495599697227,1.167869841734295,0.8601998671077364,1.4293232419767241,0.8362305836426566
S,R,P,0.22319004430007616,0.14162132501057445,3.2344068903431555,1.2458281781115832,4.3008329744280385,1.8708669064051067
R,S,P,0.2039718177247285,0.06376423209338197,1.3859991760714088,1.4880993827877884,2.4424340240834006,1.6058845793948786
D,T,P,-0.5950503939633703,0.06434512381282564,0.14255778716153755,1.1289325447125211,0.04841491151115,1.2953141729276347
